model_name,mode,camera,fusion_method,threshold_percentile,input_dim,train_count,test_count,test_correct_count,test_anomaly_count,threshold,dropout,weight_decay,best_epoch,best_val_loss,accuracy,precision,recall,f1,auc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,flagged_as_anomaly,total_test
small_no_dropout,single_camera,C10390,,90,4064,626,839,626,213,0.2784562110900879,0.0,0.0001,115,0.14221854991973584,0.8092967818831943,0.8117647058823529,0.323943661971831,0.46308724832214765,0.9520766773162939,610,16,144,69,0.025559105431309903,0.676056338028169,85,839
small_no_dropout,single_camera,C10404,,70,4064,626,839,626,213,0.12973901629447937,0.0,0.0001,148,0.1179767238201609,0.8581644815256257,0.75,0.6619718309859155,0.7032418952618454,0.935449759258426,579,47,72,141,0.07507987220447285,0.3380281690140845,188,839
small_no_dropout,single_camera,C10404,,75,4064,626,839,626,213,0.1516498327255249,0.0,0.0001,148,0.1179767238201609,0.8522050059594756,0.7664670658682635,0.6009389671361502,0.6736842105263158,0.935449759258426,587,39,85,128,0.06230031948881789,0.39906103286384975,167,839
small_no_dropout,single_camera,C10404,,80,4064,626,839,626,213,0.16827553510665894,0.0,0.0001,148,0.1179767238201609,0.8462455303933254,0.7837837837837838,0.5446009389671361,0.6426592797783933,0.935449759258426,594,32,97,116,0.051118210862619806,0.45539906103286387,148,839
small_no_dropout,single_camera,C10404,,85,4064,626,839,626,213,0.19598612189292908,0.0,0.0001,148,0.1179767238201609,0.8355184743742551,0.8048780487804879,0.4647887323943662,0.5892857142857143,0.935449759258426,602,24,114,99,0.038338658146964855,0.5352112676056338,123,839
small_no_dropout,single_camera,C10404,,90,4064,626,839,626,213,0.25321468710899353,0.0,0.0001,148,0.1179767238201609,0.797377830750894,0.7866666666666666,0.27699530516431925,0.4097222222222222,0.935449759258426,610,16,154,59,0.025559105431309903,0.7230046948356808,75,839
small_no_dropout,fusion,ALL,mean,70,,,839,626,213,1.0,0.0,0.0001,,,0.9058402860548271,0.7913043478260869,0.8544600938967136,0.8216704288939052,0.9580239691610795,578,48,31,182,0.07667731629392971,0.14553990610328638,230,839
small_no_dropout,fusion,ALL,max,70,,,839,626,213,1.0,0.0,0.0001,,,0.9034564958283671,0.7426470588235294,0.9483568075117371,0.8329896907216495,0.9566215182468614,556,70,11,202,0.11182108626198083,0.051643192488262914,272,839
small_no_dropout,fusion,ALL,top2_mean,70,,,839,626,213,1.0,0.0,0.0001,,,0.9058402860548271,0.7557251908396947,0.9295774647887324,0.8336842105263158,0.9577539786107486,562,64,15,198,0.10223642172523961,0.07042253521126761,262,839
small_no_dropout,fusion,ALL,mean,75,,,839,626,213,1.0,0.0,0.0001,,,0.8974970202622169,0.8038277511961722,0.7887323943661971,0.7962085308056872,0.9582414615488458,585,41,45,168,0.06549520766773163,0.2112676056338028,209,839
small_no_dropout,fusion,ALL,max,75,,,839,626,213,1.0,0.0,0.0001,,,0.9117997616209773,0.7725490196078432,0.9248826291079812,0.8418803418803419,0.9572664956726514,568,58,16,197,0.0926517571884984,0.07511737089201878,255,839
